iter	RMSE
631	146.8523767
632	146.6700316
633	146.1021523
634	145.7154872
635	145.3242526
636	144.8151143
637	144.446072
638	144.2464068
639	143.6702192
640	143.2815408
641	142.9877266
642	142.7540448
643	142.2676691
644	141.7733117
645	141.4475894
646	141.1564524
647	140.6723659
648	140.2213558
649	139.7526908
650	139.3765886
651	139.1140266
652	138.9455392
653	138.4817868
654	138.0110433
655	137.6688406
656	137.2954757
657	136.6851875
658	136.4614387
659	135.9543056
660	135.7268767
661	135.6950594
662	135.2076879
663	134.6672104
664	134.3249839
665	134.0665551
666	133.7356537
667	133.4402007
668	133.2409959
669	133.1086613
670	132.9137507
671	132.6449333
672	132.147808
673	131.9983461
674	131.4705806
675	131.3840439
676	131.1698254
677	130.7301944
678	130.3869755
679	129.9323413
680	129.5540092
681	129.0154374
682	128.7046671
683	128.1812642
684	127.8697279
685	127.4922682
686	127.1406733
687	126.9610102
688	126.5833788
689	126.4371525
690	126.1729673
691	125.7704581
692	125.4550408
693	125.3721698
694	125.0618921
695	124.7778223
696	124.3441356
697	124.0153712
698	123.7586736
699	123.2282401
700	122.9154
701	122.7227885
702	122.3886975
703	122.3092735
704	121.9122583
705	121.7537736
706	121.2905339
707	121.0678017
708	120.5748531
709	120.2205723
710	119.7502855
711	119.6214283
712	119.4934031
713	119.2897918
714	119.0748952
715	118.747466
716	118.5621064
717	118.4460695
718	118.3078066
719	117.8442308
720	117.4292229
721	117.0141137
722	116.9797297
723	116.7067455
724	116.3205775
725	115.8110318
726	115.7846756
727	115.5665993
728	115.2456287
729	115.146614
730	114.9163196
731	114.4292396
732	113.9393649
733	113.8573753
734	113.7645809
735	113.5388678
736	113.2309789
737	113.1340414
738	113.0936206
739	112.7045501
740	112.1897839
741	111.8315202
742	111.4213705
743	110.9944343
744	110.6974413
745	110.4783651
746	110.0344894
747	109.7369165
748	109.3826764
749	109.3294612
750	108.9188
751	108.5658764
752	108.2753021
753	107.8990147
754	107.649118
755	107.3512005
756	107.0617851
757	106.83947
758	106.4414293
759	106.1964355
760	105.9889661
761	105.5048032
762	105.4188073
763	105.3272722
764	105.2442742
765	104.8194788
766	104.6837774
767	104.5457687
768	104.2281131
769	104.2055085
770	104.0846921
771	103.8775141
772	103.7414127
773	103.4925036
774	103.2403145
775	102.8718858
776	102.6729671
777	102.5774575
778	102.3216781
779	102.2545002
780	101.8994657
781	101.7325856
782	101.5092196
783	101.4824776
784	101.1648765
785	100.8996188
786	100.7046435
787	100.6298998
788	100.3808002
789	100.0877024
790	100.0349361
791	99.84443667
792	99.81651687
793	99.68003231
794	99.32339369
795	98.91712069
796	98.85504826
797	98.60570501
798	98.18158066
799	97.90423048
800	97.77415718
801	97.62026615
802	97.34661681
803	97.10031703
804	96.93411507
805	96.65560393
806	96.46907475
807	96.20322562
808	95.99555704
809	95.6630306
810	95.43022229
811	95.20201484
812	95.08211638
813	94.73535327
814	94.58943761
815	94.40509508
816	94.16076215
817	93.9299772
818	93.64324832
819	93.37107094
820	93.05281824
821	92.82042226
822	92.51935406
823	92.3568106
824	92.15080956
825	92.07003129
826	91.73975527
827	91.60246909
828	91.41863161
829	91.03455205
830	90.96227349
831	90.86615628
832	90.67162719
833	90.45191493
834	90.2504323
835	90.09862481
836	90.06308459
837	89.84848902
838	89.80223461
839	89.62760255
840	89.49852836
841	89.47775708
842	89.45504679
843	89.40280481
844	89.20140623
845	88.8466547
846	88.76524889
847	88.71387161
848	88.65847819
849	88.37737547
850	88.29028195
851	88.11061986
852	87.79791726
853	87.55796987
854	87.17863639
855	86.98590759
856	86.66563917
857	86.29779196
858	86.15081787
859	85.83706655
860	85.65501444
861	85.58525071
862	85.46541159
863	85.19820769
864	85.03451548
865	84.67334269
866	84.44554505
867	84.2992186
868	84.05927954
869	83.65994724
870	83.23318477
871	83.10117738
872	82.8668033
873	82.58661498
874	82.45516028
875	82.30320173
876	82.18774179
877	81.86986778
878	81.66530345
879	81.48009008
880	81.17575969
881	81.03992714
882	81.02175662
883	80.73252072
884	80.4734211
885	80.22153097
886	80.01900927
887	79.94987904
888	79.84440013
889	79.75357642
890	79.57908766
891	79.55443388
892	79.44905704
893	79.34201162
894	79.13950628
895	79.09381392
896	79.00264095
897	78.82935086
898	78.66905887
899	78.44133288
900	78.11279586
901	77.86092628
902	77.71536827
903	77.43576311
904	77.19011646
905	77.07447957
906	76.94078669
907	76.86766012
908	76.78240659
909	76.49949869
910	76.17899137
911	75.98285975
912	75.67015296
913	75.53078906
914	75.32357823
915	75.20264294
916	74.96957594
917	74.90929763
918	74.60415626
919	74.38028512
920	74.12662297
921	73.88897784
922	73.66055028
923	73.41876192
924	73.29594828
925	73.15662697
926	72.856131
927	72.7796513
928	72.76329665
929	72.59200607
930	72.18168157
931	71.91517787
932	71.74747663
933	71.4838622
934	71.25367581
935	70.9863251
936	70.70843061
937	70.46994348
938	70.24679281
939	70.13427989
940	69.95935322
941	69.71488298
942	69.51242983
943	69.37655176
944	69.28490368
945	69.05807286
946	68.8867045
947	68.73036912
948	68.46399031
949	68.23194939
950	68.13714122
951	67.85491747
952	67.76433469
953	67.51782336
954	67.32684533
955	67.12811898
956	66.939255
957	66.74381559
958	66.61315217
959	66.46016985
960	66.35724647
961	66.09262355
962	65.92306164
963	65.9074127
964	65.77809835
965	65.58334743
966	65.49527261
967	65.3957605
968	65.24198513
969	65.01071305
970	64.91607679
971	64.66158348
972	64.41257091
973	64.21466052
974	64.1281386
975	63.98713297
976	63.83340694
977	63.6784702
978	63.58501868
979	63.40810076
980	63.14027198
981	63.05965745
982	62.99661249
983	62.96233101
984	62.777478
985	62.60587792
986	62.46204204
987	62.36699456
988	62.10873618
989	61.95666553
990	61.69379417
991	61.5707675
992	61.43599747
993	61.28127825
994	61.17879798
995	61.05421431
996	60.82922771
997	60.71114386
998	60.4383528
999	60.34099374
